"item_id","root_name","disease_id","disease_name","calculated_dw","article_number","title","authors","pubmed","PMID","doi","DOI","pmc","PMCID","pubtypes","weight"
"41","Fruit Salad",35,"Coronary Disease",915,31,"Healthy traditional Mediterranean diet: an expression of culture, history, and lifestyle.","Trichopoulou A, Lagiou P","https://pubmed.ncbi.nlm.nih.gov/9420448/","9420448","https://doi.org/10.1111/j.1753-4887.1997.tb01578.x","10.1111/j.1753-4887.1997.tb01578.x","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,32,"Vitamin E and coronary artery disease.","Spencer AP, Carson DS, Crouch MA","https://pubmed.ncbi.nlm.nih.gov/10386507/","10386507","https://doi.org/10.1001/archinte.159.12.1313","10.1001/archinte.159.12.1313","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,33,"Impact of nondigestible carbohydrates on serum lipoproteins and risk for cardiovascular disease.","Anderson JW, Hanna TJ","https://pubmed.ncbi.nlm.nih.gov/10395621/","10395621","https://doi.org/10.1093/jn/129.7.1457S","10.1093/jn/129.7.1457S","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,34,"[Disease prevention by vitamins based on epidemiological investigations in humans].","Hirohata T","https://pubmed.ncbi.nlm.nih.gov/10540893/","10540893","No DOI available",,"No PMC available",,"English Abstract, Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,35,"Vegetarian diet: panacea for modern lifestyle diseases?","Segasothy M, Phillips PA","https://pubmed.ncbi.nlm.nih.gov/10627874/","10627874","https://doi.org/10.1093/qjmed/92.9.531","10.1093/qjmed/92.9.531","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,36,"The health benefits of wine.","German JB, Walzem RL","https://pubmed.ncbi.nlm.nih.gov/10940346/","10940346","https://doi.org/10.1146/annurev.nutr.20.1.561","10.1146/annurev.nutr.20.1.561","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,37,"Relationships among diet, physical activity and other lifestyle factors and debilitating diseases in the elderly.","Woo J","https://pubmed.ncbi.nlm.nih.gov/11041086/","11041086","https://doi.org/10.1038/sj.ejcn.1601036","10.1038/sj.ejcn.1601036","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,38,"The effects of plant flavonoids on mammalian cells: implications for inflammation, heart disease, and cancer.","Middleton E Jr, Kandaswami C, Theoharides TC","https://pubmed.ncbi.nlm.nih.gov/11121513/","11121513","No DOI available",,"No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,39,"Prevention of cancer and other chronic diseases worldwide based on sound mechanisms.","Weisburger JH","https://pubmed.ncbi.nlm.nih.gov/11216509/","11216509","https://doi.org/10.1002/biof.5520120112","10.1002/biof.5520120112","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,40,"Mediterranean diet and longevity.","Trichopoulou A, Vasilopoulou E","https://pubmed.ncbi.nlm.nih.gov/11242471/","11242471","https://doi.org/10.1079/096582197388554","10.1079/096582197388554","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,41,"Alcohol and mortality: if you drink, do not forget fruits and vegetables.","Suter PM","https://pubmed.ncbi.nlm.nih.gov/11570433/","11570433","https://doi.org/10.1111/j.1753-4887.2001.tb07020.x","10.1111/j.1753-4887.2001.tb07020.x","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,42,"Coronary heart disease: dietary links and pathogenesis.","Renaud S, Lanzmann-Petithory D","https://pubmed.ncbi.nlm.nih.gov/11683541/","11683541","https://doi.org/10.1079/phn2001134","10.1079/phn2001134","No PMC available",,"Journal Article, Research Support, Non-U.S. Gov't, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,43,"Vitamin E supplementation in the prevention of coronary heart disease.","Pruthi S, Allison TG, Hensrud DD","https://pubmed.ncbi.nlm.nih.gov/11702901/","11702901","https://doi.org/10.4065/76.11.1131","10.4065/76.11.1131","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,44,"Dietary flavonoids and risk of coronary heart disease.","Mojzisová G, Kuchta M","https://pubmed.ncbi.nlm.nih.gov/11829313/","11829313","No DOI available",,"No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,45,"Potential health benefits from the flavonoids in grape products on vascular disease.","Folts JD","https://pubmed.ncbi.nlm.nih.gov/12083471/","12083471","https://doi.org/10.1007/978-1-4757-5235-9_9","10.1007/978-1-4757-5235-9_9","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,46,"Dietary glycemic load and atherothrombotic risk.","Liu S, Willett WC","https://pubmed.ncbi.nlm.nih.gov/12361493/","12361493","https://doi.org/10.1007/s11883-002-0050-2","10.1007/s11883-002-0050-2","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,47,"Diet and prevention of coronary heart disease in the Arab Middle East countries.","Musaiger AO","https://pubmed.ncbi.nlm.nih.gov/12444306/","12444306","https://doi.org/10.1159/000066415","10.1159/000066415","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,48,"[Folic acid fortified food and their importance in health promotion].","Kunachowicz H, Nadolna I, Stoś K, Brozek A, Szponar L","https://pubmed.ncbi.nlm.nih.gov/15230103/","15230103","No DOI available",,"No PMC available",,"English Abstract, Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,49,"Dietary recommendations in the prevention and treatment of coronary heart disease: do we have the ideal diet yet?","Chahoud G, Aude YW, Mehta JL","https://pubmed.ncbi.nlm.nih.gov/15541241/","15541241","https://doi.org/10.1016/j.amjcard.2004.07.109","10.1016/j.amjcard.2004.07.109","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,50,"Health effects of phytoestrogens.","Branca F, Lorenzetti S","https://pubmed.ncbi.nlm.nih.gov/15702593/","15702593","https://doi.org/10.1159/000083773","10.1159/000083773","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,51,"Does alpha-linolenic acid intake reduce the risk of coronary heart disease? A review of the evidence.","Mozaffarian D","https://pubmed.ncbi.nlm.nih.gov/15945135/","15945135","No DOI available",,"No PMC available",,"Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, P.H.S., Review",2
"41","Fruit Salad",35,"Coronary Disease",915,52,"Reducing hypertensive cardiovascular disease risk of African Americans with diet: focus on the facts.","Reusser ME, McCarron DA","https://pubmed.ncbi.nlm.nih.gov/16549487/","16549487","https://doi.org/10.1093/jn/136.4.1099","10.1093/jn/136.4.1099","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,53,"What should we eat? Evidence from observational studies.","Adams SM, Standridge JB","https://pubmed.ncbi.nlm.nih.gov/16866057/","16866057","https://doi.org/10.1097/01.smj.0000220887.52952.f0","10.1097/01.smj.0000220887.52952.f0","No PMC available",,"Journal Article, Review",2
"41","Fruit Salad",35,"Coronary Disease",915,54,"The effects of macronutrients on blood pressure and lipids: an overview of the DASH and OmniHeart trials.","Miller ER 3rd, Erlinger TP, Appel LJ","https://pubmed.ncbi.nlm.nih.gov/17045071/","17045071","https://doi.org/10.1007/s11883-006-0020-1","10.1007/s11883-006-0020-1","No PMC available",,"Journal Article, Review",2
